dataset,column,null_percent,unique_count,dtype,generated_at
login,app_id,0.0,14,object,2026-04-02 16:06:07.531849
login,fld_lgin_cnt,0.0,6,int64,2026-04-02 16:06:07.531849
login,frst_lgin_dte_day,0.0,9,datetime64[ns],2026-04-02 16:06:07.531849
login,frst_lgin_tme_day,0.0,25718,object,2026-04-02 16:06:07.531849
login,lst_lgin_dte,0.0,9,datetime64[ns],2026-04-02 16:06:07.531849
login,lst_lgin_dev_id,50.65144668114326,16430,object,2026-04-02 16:06:07.531849
login,lst_lgin_ip,6.708140149069782,29335,object,2026-04-02 16:06:07.531849
login,lst_lgin_loctn,100.0,0,float64,2026-04-02 16:06:07.531849
login,lst_lgin_tme,0.0,25338,object,2026-04-02 16:06:07.531849
login,lst_lgout_dte,0.0,9,datetime64[ns],2026-04-02 16:06:07.531849
login,lst_lgout_tme,0.0,25350,object,2026-04-02 16:06:07.531849
login,stat,0.0,2,object,2026-04-02 16:06:07.531849
login,usr_id,0.0,33631,object,2026-04-02 16:06:07.531849
login,prcs_dte,0.0,2,datetime64[ns],2026-04-02 16:06:07.531849
login,od_dte,0.0,2,datetime64[ns],2026-04-02 16:06:07.531849
login,full_dte,0.0,2,datetime64[ns],2026-04-02 16:06:07.531849
login,yr_mth_nbr,0.0,1,int64,2026-04-02 16:06:07.531849
mandate,tblid,0.0,8,int64,2026-04-02 16:06:07.531849
mandate,transactionid,0.0,8,object,2026-04-02 16:06:07.531849
mandate,aadhaarno,62.5,2,float64,2026-04-02 16:06:07.531849
mandate,uidaiauthenticated,62.5,1,object,2026-04-02 16:06:07.531849
mandate,cardno,37.5,4,object,2026-04-02 16:06:07.531849
mandate,expiry,0.0,1,object,2026-04-02 16:06:07.531849
mandate,cvv,0.0,1,object,2026-04-02 16:06:07.531849
mandate,pin,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,npci_refmsgid,0.0,8,object,2026-04-02 16:06:07.531849
mandate,credttm,0.0,8,datetime64[ns],2026-04-02 16:06:07.531849
mandate,id,0.0,5,object,2026-04-02 16:06:07.531849
mandate,catcode,0.0,2,object,2026-04-02 16:06:07.531849
mandate,utilcode,0.0,5,object,2026-04-02 16:06:07.531849
mandate,catdesc,0.0,2,object,2026-04-02 16:06:07.531849
mandate,name,0.0,5,object,2026-04-02 16:06:07.531849
mandate,spn_bnk_nm,0.0,5,object,2026-04-02 16:06:07.531849
mandate,mndtreqid,0.0,8,object,2026-04-02 16:06:07.531849
mandate,mndtid,0.0,8,object,2026-04-02 16:06:07.531849
mandate,mndt_type,0.0,1,object,2026-04-02 16:06:07.531849
mandate,schm_nm,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,seqtp,0.0,1,object,2026-04-02 16:06:07.531849
mandate,frqcy,0.0,1,object,2026-04-02 16:06:07.531849
mandate,frstcolltndt,0.0,7,object,2026-04-02 16:06:07.531849
mandate,fnlcolltndt,0.0,7,object,2026-04-02 16:06:07.531849
mandate,colltnamt,0.0,5,float64,2026-04-02 16:06:07.531849
mandate,maxamt,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,dbtr_nm,0.0,6,object,2026-04-02 16:06:07.531849
mandate,account_id,0.0,5,object,2026-04-02 16:06:07.531849
mandate,dbtr_acct_type,0.0,1,object,2026-04-02 16:06:07.531849
mandate,dbtr_cons_ref_no,12.5,4,object,2026-04-02 16:06:07.531849
mandate,dbtr_phone,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,dbtr_mobile,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,dbtr_email,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,dbtr_pan,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,craccdtl_nm,0.0,5,object,2026-04-02 16:06:07.531849
mandate,craccdtl_accno,0.0,5,object,2026-04-02 16:06:07.531849
mandate,craccdtl_mmbid,0.0,5,object,2026-04-02 16:06:07.531849
mandate,requestreceivedtime,0.0,8,object,2026-04-02 16:06:07.531849
mandate,mnd_status,0.0,1,object,2026-04-02 16:06:07.531849
mandate,mnd_mode,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,mnd_status_code,100.0,0,float64,2026-04-02 16:06:07.531849
mandate,request_type,0.0,2,object,2026-04-02 16:06:07.531849
mandate,txn_dest,0.0,2,object,2026-04-02 16:06:07.531849
fd,fd_a_c_no_in_ssfb,0.0,8073,int64,2026-04-02 16:06:07.531849
fd,fd_creation_date,0.0,876,datetime64[ns],2026-04-02 16:06:07.531849
fd,fd_amount,0.0,688,int64,2026-04-02 16:06:07.531849
fd,tenure,0.0,8,object,2026-04-02 16:06:07.531849
fd,roi,0.0,17,float64,2026-04-02 16:06:07.531849
fd,interest_payout_type,0.01238696890870804,4,object,2026-04-02 16:06:07.531849
fd,nominee_captured_existing_new,0.0,3301,object,2026-04-02 16:06:07.531849
fd,account_id,0.0,3385,object,2026-04-02 16:06:07.531849
fd,linked_fino_a_c_product_code,0.0,12,int64,2026-04-02 16:06:07.531849
fd,linked_fino_a_c_dp_activation_date,0.01238696890870804,1683,object,2026-04-02 16:06:07.531849
fd,linked_fino_a_c_cif,0.0,3384,int64,2026-04-02 16:06:07.531849
fd,linked_fino_a_c_customer_name,0.0,3231,object,2026-04-02 16:06:07.531849
fd,linked_fino_a_c_customer_dob,0.0,2097,object,2026-04-02 16:06:07.531849
fd,pan_flag,0.0,2,object,2026-04-02 16:06:07.531849
fd,user_type_mer_fos_sourced_fd,75.82063669020191,18,object,2026-04-02 16:06:07.531849
fd,user_id_mer_fos_sourced_fd,0.0,2576,int64,2026-04-02 16:06:07.531849
fd,user_name_mer_fos_sourced_fd,75.87018456583674,778,object,2026-04-02 16:06:07.531849
fd,branch_code,0.0,115,int64,2026-04-02 16:06:07.531849
fd,branch_name,0.0,110,object,2026-04-02 16:06:07.531849
fd,new_dist,0.0,475,object,2026-04-02 16:06:07.531849
fd,state_new,0.0,50,object,2026-04-02 16:06:07.531849
fd,new_zone,76.08076303728477,5,object,2026-04-02 16:06:07.531849
fd,channelid,0.0,2,int64,2026-04-02 16:06:07.531849
fd,user_class,0.0,19,object,2026-04-02 16:06:07.531849
fd,fd_closure_date,40.146166233122756,756,object,2026-04-02 16:06:07.531849
fd,fdstatus,0.0,2,int64,2026-04-02 16:06:07.531849
fd,r1,76.08076303728477,257,object,2026-04-02 16:06:07.531849
fd,r2,76.08076303728477,87,object,2026-04-02 16:06:07.531849
fd,r3,76.08076303728477,29,object,2026-04-02 16:06:07.531849
fd,r4,76.08076303728477,5,object,2026-04-02 16:06:07.531849
fd,lgr_bal,0.0,2730,float64,2026-04-02 16:06:07.531849
fd,mab,100.0,0,float64,2026-04-02 16:06:07.531849
